hand_number,player_id,pot_size,player_chips,player_state
1,0,110,5000,OUT
1,1,110,5000,OUT
1,2,110,5030,IN
1,3,110,4990,OUT
1,4,110,4980,OUT
2,0,710,4980,OUT
2,1,710,4660,OUT
2,2,710,5030,OUT
2,3,710,5360,IN
2,4,710,4970,OUT
3,0,30,4970,OUT
3,1,30,4670,IN
3,2,30,5030,OUT
3,3,30,5360,OUT
3,4,30,4970,OUT
4,0,30,4970,OUT
4,1,30,4660,OUT
4,2,30,5040,IN
4,3,30,5360,OUT
4,4,30,4970,OUT
5,0,30,4970,OUT
5,1,30,4660,OUT
5,2,30,5030,OUT
5,3,30,5370,IN
5,4,30,4970,OUT
6,0,30,4970,OUT
6,1,30,4660,OUT
6,2,30,5030,OUT
6,3,30,5360,OUT
6,4,30,4980,IN
7,0,450,4790,OUT
7,1,450,4850,IN
7,2,450,5030,OUT
7,3,450,5360,OUT
7,4,450,4970,OUT
8,0,30,4780,OUT
8,1,30,4860,IN
8,2,30,5030,OUT
8,3,30,5360,OUT
8,4,30,4970,OUT
9,0,30,4780,OUT
9,1,30,4850,OUT
9,2,30,5040,IN
9,3,30,5360,OUT
9,4,30,4970,OUT
10,0,30,4780,OUT
10,1,30,4850,OUT
10,2,30,5030,OUT
10,3,30,5370,IN
10,4,30,4970,OUT
11,0,30,4780,OUT
11,1,30,4850,OUT
11,2,30,5030,OUT
11,3,30,5360,OUT
11,4,30,4980,IN
12,0,110,4760,OUT
12,1,110,4880,IN
12,2,110,5030,OUT
12,3,110,5360,OUT
12,4,110,4970,OUT
13,0,240,4860,IN
13,1,240,4860,OUT
13,2,240,5030,OUT
13,3,240,5280,OUT
13,4,240,4970,OUT
14,0,130,4860,OUT
14,1,130,4850,OUT
14,2,130,5010,OUT
14,3,130,5280,OUT
14,4,130,5000,IN
15,0,30,4860,OUT
15,1,30,4850,OUT
15,2,30,5000,OUT
15,3,30,5290,IN
15,4,30,5000,OUT
16,0,130,4860,OUT
16,1,130,4850,OUT
16,2,130,5030,IN
16,3,130,5280,OUT
16,4,130,4980,OUT
17,0,130,4840,OUT
17,1,130,4850,OUT
17,2,130,5030,OUT
17,3,130,5310,IN
17,4,130,4970,OUT
18,0,130,4830,OUT
18,1,130,4830,OUT
18,2,130,5060,IN
18,3,130,5310,OUT
18,4,130,4970,OUT
19,0,130,4830,OUT
19,1,130,4820,OUT
19,2,130,5040,OUT
19,3,130,5340,IN
19,4,130,4970,OUT
20,0,240,4830,OUT
20,1,240,4740,OUT
20,2,240,5140,IN
20,3,240,5320,OUT
20,4,240,4970,OUT
21,0,30,4830,OUT
21,1,30,4740,OUT
21,2,30,5140,OUT
21,3,30,5310,OUT
21,4,30,4980,IN
22,0,30,4840,IN
22,1,30,4740,OUT
22,2,30,5140,OUT
22,3,30,5310,OUT
22,4,30,4970,OUT
23,0,30,4830,OUT
23,1,30,4750,IN
23,2,30,5140,OUT
23,3,30,5310,OUT
23,4,30,4970,OUT
24,0,30,4830,OUT
24,1,30,4740,OUT
24,2,30,5150,IN
24,3,30,5310,OUT
24,4,30,4970,OUT
25,0,100,4830,OUT
25,1,100,4740,OUT
25,2,100,5170,IN
25,3,100,5290,OUT
25,4,100,4970,OUT
26,0,30,4830,OUT
26,1,30,4740,OUT
26,2,30,5170,OUT
26,3,30,5280,OUT
26,4,30,4980,IN
27,0,30,4840,IN
27,1,30,4740,OUT
27,2,30,5170,OUT
27,3,30,5280,OUT
27,4,30,4970,OUT
28,0,130,4830,OUT
28,1,130,4720,OUT
28,2,130,5170,OUT
28,3,130,5280,OUT
28,4,130,5000,IN
29,0,30,4830,OUT
29,1,30,4710,OUT
29,2,30,5180,IN
29,3,30,5280,OUT
29,4,30,5000,OUT
30,0,100,4830,OUT
30,1,100,4710,OUT
30,2,100,5200,IN
30,3,100,5260,OUT
30,4,100,5000,OUT
31,0,30,4830,OUT
31,1,30,4710,OUT
31,2,30,5200,OUT
31,3,30,5250,OUT
31,4,30,5010,IN
32,0,120,4810,OUT
32,1,120,4710,OUT
32,2,120,5200,OUT
32,3,120,5250,OUT
32,4,120,5030,IN
33,0,240,4910,IN
33,1,240,4690,OUT
33,2,240,5200,OUT
33,3,240,5250,OUT
33,4,240,4950,OUT
34,0,30,4910,OUT
34,1,30,4680,OUT
34,2,30,5210,IN
34,3,30,5250,OUT
34,4,30,4950,OUT
35,0,580,4910,OUT
35,1,580,4680,OUT
35,2,580,5470,IN
35,3,580,5230,OUT
35,4,580,4710,OUT
36,0,30,4910,OUT
36,1,30,4680,OUT
36,2,30,5470,OUT
36,3,30,5220,OUT
36,4,30,4720,IN
37,0,430,5140,IN
37,1,430,4600,OUT
37,2,430,5330,OUT
37,3,430,5220,OUT
37,4,430,4710,OUT
38,0,250,5130,OUT
38,1,250,4580,OUT
38,2,250,5330,OUT
38,3,250,5140,OUT
38,4,250,4820,IN
39,0,110,5130,OUT
39,1,110,4570,OUT
39,2,110,5310,OUT
39,3,110,5170,IN
39,4,110,4820,OUT
40,0,110,5130,OUT
40,1,110,4570,OUT
40,2,110,5300,OUT
40,3,110,5150,OUT
40,4,110,4850,IN
41,0,370,5300,IN
41,1,370,4570,OUT
41,2,370,5160,OUT
41,3,370,5140,OUT
41,4,370,4830,OUT
42,0,30,5310,IN
42,1,30,4570,OUT
42,2,30,5160,OUT
42,3,30,5140,OUT
42,4,30,4820,OUT
43,0,110,5300,OUT
43,1,110,4550,OUT
43,2,110,5190,IN
43,3,110,5140,OUT
43,4,110,4820,OUT
44,0,100,5300,OUT
44,1,100,4570,IN
44,2,100,5170,OUT
44,3,100,5140,OUT
44,4,100,4820,OUT
45,0,360,5300,OUT
45,1,360,4570,OUT
45,2,360,5030,OUT
45,3,360,5120,OUT
45,4,360,4980,IN
46,0,100,5300,OUT
46,1,100,4570,OUT
46,2,100,5030,OUT
46,3,100,5140,IN
46,4,100,4960,OUT
47,0,250,5390,IN
47,1,250,4490,OUT
47,2,250,5030,OUT
47,3,250,5140,OUT
47,4,250,4950,OUT
48,0,120,5410,IN
48,1,120,4470,OUT
48,2,120,5030,OUT
48,3,120,5140,OUT
48,4,120,4950,OUT
49,0,130,5410,OUT
49,1,130,4460,OUT
49,2,130,5010,OUT
49,3,130,5170,IN
49,4,130,4950,OUT
50,0,230,5410,OUT
50,1,230,4460,OUT
50,2,230,5000,OUT
50,3,230,5260,IN
50,4,230,4870,OUT
51,0,30,5410,OUT
51,1,30,4460,OUT
51,2,30,5000,OUT
51,3,30,5250,OUT
51,4,30,4880,IN
52,0,260,5390,OUT
52,1,260,4460,OUT
52,2,260,4920,OUT
52,3,260,5250,OUT
52,4,260,4980,IN
53,0,30,5380,OUT
53,1,30,4470,IN
53,2,30,4920,OUT
53,3,30,5250,OUT
53,4,30,4980,OUT
54,0,670,5730,IN
54,1,670,4460,OUT
54,2,670,4900,OUT
54,3,670,4930,OUT
54,4,670,4980,OUT
55,0,110,5730,OUT
55,1,110,4490,IN
55,2,110,4890,OUT
55,3,110,4910,OUT
55,4,110,4980,OUT
56,0,250,5650,OUT
56,1,250,4490,OUT
56,2,250,5000,IN
56,3,250,4900,OUT
56,4,250,4960,OUT
57,0,110,5630,OUT
57,1,110,4490,OUT
57,2,110,5000,OUT
57,3,110,4930,IN
57,4,110,4950,OUT
58,0,110,5620,OUT
58,1,110,4470,OUT
58,2,110,5000,OUT
58,3,110,4930,OUT
58,4,110,4980,IN
59,0,100,5620,OUT
59,1,100,4490,IN
59,2,100,4980,OUT
59,3,100,4930,OUT
59,4,100,4980,OUT
60,0,110,5620,OUT
60,1,110,4490,OUT
60,2,110,4970,OUT
60,3,110,4910,OUT
60,4,110,5010,IN
61,0,30,5620,OUT
61,1,30,4490,OUT
61,2,30,4970,OUT
61,3,30,4900,OUT
61,4,30,5020,IN
62,0,110,5600,OUT
62,1,110,4490,OUT
62,2,110,4970,OUT
62,3,110,4930,IN
62,4,110,5010,OUT
63,0,30,5590,OUT
63,1,30,4500,IN
63,2,30,4970,OUT
63,3,30,4930,OUT
63,4,30,5010,OUT
64,0,100,5590,OUT
64,1,100,4520,IN
64,2,100,4950,OUT
64,3,100,4930,OUT
64,4,100,5010,OUT
65,0,110,5590,OUT
65,1,110,4520,OUT
65,2,110,4940,OUT
65,3,110,4910,OUT
65,4,110,5040,IN
66,0,100,5590,OUT
66,1,100,4520,OUT
66,2,100,4940,OUT
66,3,100,4930,IN
66,4,100,5020,OUT
67,0,420,5810,IN
67,1,420,4520,OUT
67,2,420,4940,OUT
67,3,420,4850,OUT
67,4,420,4880,OUT
68,0,250,5800,OUT
68,1,250,4500,OUT
68,2,250,4940,OUT
68,3,250,4770,OUT
68,4,250,4990,IN
69,0,30,5800,OUT
69,1,30,4490,OUT
69,2,30,4950,IN
69,3,30,4770,OUT
69,4,30,4990,OUT
70,0,250,5720,OUT
70,1,250,4600,IN
70,2,250,4940,OUT
70,3,250,4750,OUT
70,4,250,4990,OUT
71,0,100,5720,OUT
71,1,100,4600,OUT
71,2,100,4940,OUT
71,3,100,4770,IN
71,4,100,4970,OUT
72,0,710,5700,OUT
72,1,710,4260,OUT
72,2,710,5310,IN
72,3,710,4770,OUT
72,4,710,4960,OUT
73,0,30,5690,OUT
73,1,30,4270,IN
73,2,30,5310,OUT
73,3,30,4770,OUT
73,4,30,4960,OUT
74,0,250,5800,IN
74,1,250,4260,OUT
74,2,250,5290,OUT
74,3,250,4690,OUT
74,4,250,4960,OUT
75,0,30,5800,OUT
75,1,30,4260,OUT
75,2,30,5280,OUT
75,3,30,4700,IN
75,4,30,4960,OUT
76,0,250,5800,OUT
76,1,250,4180,OUT
76,2,250,5390,IN
76,3,250,4690,OUT
76,4,250,4940,OUT
77,0,30,5810,IN
77,1,30,4180,OUT
77,2,30,5390,OUT
77,3,30,4690,OUT
77,4,30,4930,OUT
78,0,30,5800,OUT
78,1,30,4190,IN
78,2,30,5390,OUT
78,3,30,4690,OUT
78,4,30,4930,OUT
79,0,230,5800,OUT
79,1,230,4180,OUT
79,2,230,5480,IN
79,3,230,4610,OUT
79,4,230,4930,OUT
80,0,110,5800,OUT
80,1,110,4180,OUT
80,2,110,5470,OUT
80,3,110,4590,OUT
80,4,110,4960,IN
81,0,110,5800,OUT
81,1,110,4210,IN
81,2,110,5470,OUT
81,3,110,4580,OUT
81,4,110,4940,OUT
82,0,110,5780,OUT
82,1,110,4240,IN
82,2,110,5470,OUT
82,3,110,4580,OUT
82,4,110,4930,OUT
83,0,240,5880,IN
83,1,240,4220,OUT
83,2,240,5470,OUT
83,3,240,4500,OUT
83,4,240,4930,OUT
84,0,30,5880,OUT
84,1,30,4210,OUT
84,2,30,5480,IN
84,3,30,4500,OUT
84,4,30,4930,OUT
85,0,110,5910,IN
85,1,110,4210,OUT
85,2,110,5470,OUT
85,3,110,4480,OUT
85,4,110,4930,OUT
86,0,110,5940,IN
86,1,110,4210,OUT
86,2,110,5470,OUT
86,3,110,4470,OUT
86,4,110,4910,OUT
87,0,30,5950,IN
87,1,30,4210,OUT
87,2,30,5470,OUT
87,3,30,4470,OUT
87,4,30,4900,OUT
88,0,30,5940,OUT
88,1,30,4220,IN
88,2,30,5470,OUT
88,3,30,4470,OUT
88,4,30,4900,OUT
89,0,710,5740,OUT
89,1,710,4210,OUT
89,2,710,5900,IN
89,3,710,4390,OUT
89,4,710,4760,OUT
90,0,30,5740,OUT
90,1,30,4210,OUT
90,2,30,5890,OUT
90,3,30,4400,IN
90,4,30,4760,OUT
91,0,460,5740,OUT
91,1,460,4410,IN
91,2,460,5890,OUT
91,3,460,4220,OUT
91,4,460,4740,OUT
92,0,110,5720,OUT
92,1,110,4410,OUT
92,2,110,5890,OUT
92,3,110,4250,IN
92,4,110,4730,OUT
93,0,100,5740,IN
93,1,100,4390,OUT
93,2,100,5890,OUT
93,3,100,4250,OUT
93,4,100,4730,OUT
94,0,1130,5480,OUT
94,1,1130,4380,OUT
94,2,1130,5870,OUT
94,3,1130,4960,IN
94,4,1130,4310,OUT
95,0,110,5480,OUT
95,1,110,4410,IN
95,2,110,5860,OUT
95,3,110,4940,OUT
95,4,110,4310,OUT
96,0,270,5400,OUT
96,1,270,4410,OUT
96,2,270,5970,IN
96,3,270,4930,OUT
96,4,270,4290,OUT
97,0,30,5410,IN
97,1,30,4410,OUT
97,2,30,5970,OUT
97,3,30,4930,OUT
97,4,30,4280,OUT
98,0,690,5400,OUT
98,1,690,4070,OUT
98,2,690,5970,OUT
98,3,690,4930,OUT
98,4,690,4630,IN
99,0,100,5400,OUT
99,1,100,4090,IN
99,2,100,5950,OUT
99,3,100,4930,OUT
99,4,100,4630,OUT
100,0,230,5320,OUT
100,1,230,4090,OUT
100,2,230,5940,OUT
100,3,230,5020,IN
100,4,230,4630,OUT
101,0,30,5320,OUT
101,1,30,4090,OUT
101,2,30,5940,OUT
101,3,30,5010,OUT
101,4,30,4640,IN
102,0,30,5330,IN
102,1,30,4090,OUT
102,2,30,5940,OUT
102,3,30,5010,OUT
102,4,30,4630,OUT
103,0,30,5320,OUT
103,1,30,4100,IN
103,2,30,5940,OUT
103,3,30,5010,OUT
103,4,30,4630,OUT
104,0,30,5320,OUT
104,1,30,4090,OUT
104,2,30,5950,IN
104,3,30,5010,OUT
104,4,30,4630,OUT
105,0,440,5320,OUT
105,1,440,4090,OUT
105,2,440,6130,IN
105,3,440,4830,OUT
105,4,440,4630,OUT
106,0,130,5320,OUT
106,1,130,4120,IN
106,2,130,6130,OUT
106,3,130,4820,OUT
106,4,130,4610,OUT
107,0,30,5330,IN
107,1,30,4120,OUT
107,2,30,6130,OUT
107,3,30,4820,OUT
107,4,30,4600,OUT
108,0,30,5320,OUT
108,1,30,4130,IN
108,2,30,6130,OUT
108,3,30,4820,OUT
108,4,30,4600,OUT
109,0,470,5140,OUT
109,1,470,4120,OUT
109,2,470,6110,OUT
109,3,470,5030,IN
109,4,470,4600,OUT
110,0,110,5170,IN
110,1,110,4120,OUT
110,2,110,6100,OUT
110,3,110,5010,OUT
110,4,110,4600,OUT
111,0,100,5170,OUT
111,1,100,4120,OUT
111,2,100,6100,OUT
111,3,100,5030,IN
111,4,100,4580,OUT
112,0,250,5150,OUT
112,1,250,4120,OUT
112,2,250,6020,OUT
112,3,250,5140,IN
112,4,250,4570,OUT
113,0,110,5140,OUT
113,1,110,4100,OUT
113,2,110,6020,OUT
113,3,110,5140,OUT
113,4,110,4600,IN
114,0,110,5140,OUT
114,1,110,4090,OUT
114,2,110,6000,OUT
114,3,110,5170,IN
114,4,110,4600,OUT
115,0,220,5140,OUT
115,1,220,4090,OUT
115,2,220,5920,OUT
115,3,220,5250,IN
115,4,220,4600,OUT
116,0,110,5170,IN
116,1,110,4090,OUT
116,2,110,5920,OUT
116,3,110,5240,OUT
116,4,110,4580,OUT
117,0,760,5550,IN
117,1,760,4090,OUT
117,2,760,5920,OUT
117,3,760,5160,OUT
117,4,760,4280,OUT
118,0,30,5540,OUT
118,1,30,4100,IN
118,2,30,5920,OUT
118,3,30,5160,OUT
118,4,30,4280,OUT
119,0,110,5570,IN
119,1,110,4090,OUT
119,2,110,5900,OUT
119,3,110,5160,OUT
119,4,110,4280,OUT
120,0,230,5570,OUT
120,1,230,4010,OUT
120,2,230,5890,OUT
120,3,230,5250,IN
120,4,230,4280,OUT
121,0,30,5570,OUT
121,1,30,4010,OUT
121,2,30,5890,OUT
121,3,30,5240,OUT
121,4,30,4290,IN
122,0,30,5580,IN
122,1,30,4010,OUT
122,2,30,5890,OUT
122,3,30,5240,OUT
122,4,30,4280,OUT
123,0,110,5570,OUT
123,1,110,3990,OUT
123,2,110,5890,OUT
123,3,110,5240,OUT
123,4,110,4310,IN
124,0,550,5860,IN
124,1,550,3980,OUT
124,2,550,5690,OUT
124,3,550,5240,OUT
124,4,550,4230,OUT
125,0,30,5860,OUT
125,1,30,3980,OUT
125,2,30,5680,OUT
125,3,30,5250,IN
125,4,30,4230,OUT
126,0,110,5860,OUT
126,1,110,4010,IN
126,2,110,5680,OUT
