hand_number,player_id,pot_size,player_chips,player_state
1,0,100,4980,OUT
1,1,100,5000,OUT
1,2,100,5000,OUT
1,3,100,5000,OUT
1,4,100,5020,IN
2,0,110,4970,OUT
2,1,110,4980,OUT
2,2,110,5000,OUT
2,3,110,5000,OUT
2,4,110,5050,IN
3,0,120,4970,OUT
3,1,120,5000,IN
3,2,120,4980,OUT
3,3,120,5000,OUT
3,4,120,5050,OUT
4,0,560,4890,OUT
4,1,560,5300,IN
4,2,560,4780,OUT
4,3,560,4980,OUT
4,4,560,5050,OUT
5,0,100,4890,OUT
5,1,100,5300,OUT
5,2,100,4780,OUT
5,3,100,5000,IN
5,4,100,5030,OUT
6,0,240,4870,OUT
6,1,240,5300,OUT
6,2,240,4700,OUT
6,3,240,5000,OUT
6,4,240,5130,IN
7,0,240,4970,IN
7,1,240,5280,OUT
7,2,240,4700,OUT
7,3,240,5000,OUT
7,4,240,5050,OUT
8,0,880,4970,OUT
8,1,880,4880,OUT
8,2,880,5180,IN
8,3,880,4920,OUT
8,4,880,5050,OUT
9,0,110,4970,OUT
9,1,110,4880,OUT
9,2,110,5170,OUT
9,3,110,4900,OUT
9,4,110,5080,IN
10,0,100,4970,OUT
10,1,100,4880,OUT
10,2,100,5170,OUT
10,3,100,4920,IN
10,4,100,5060,OUT
11,0,710,5400,IN
11,1,710,4800,OUT
11,2,710,5030,OUT
11,3,710,4720,OUT
11,4,710,5050,OUT
12,0,110,5390,OUT
12,1,110,4780,OUT
12,2,110,5030,OUT
12,3,110,4720,OUT
12,4,110,5080,IN
13,0,110,5420,IN
13,1,110,4770,OUT
13,2,110,5010,OUT
13,3,110,4720,OUT
13,4,110,5080,OUT
14,0,130,5420,OUT
14,1,130,4770,OUT
14,2,130,5000,OUT
14,3,130,4700,OUT
14,4,130,5110,IN
15,0,30,5420,OUT
15,1,30,4770,OUT
15,2,30,5000,OUT
15,3,30,4690,OUT
15,4,30,5120,IN
16,0,660,5400,OUT
16,1,660,4770,OUT
16,2,660,5340,IN
16,3,660,4690,OUT
16,4,660,4800,OUT
17,0,450,5390,OUT
17,1,450,4590,OUT
17,2,450,5530,IN
17,3,450,4690,OUT
17,4,450,4800,OUT
18,0,110,5390,OUT
18,1,110,4580,OUT
18,2,110,5510,OUT
18,3,110,4720,IN
18,4,110,4800,OUT
19,0,30,5390,OUT
19,1,30,4580,OUT
19,2,30,5500,OUT
19,3,30,4730,IN
19,4,30,4800,OUT
20,0,110,5420,IN
20,1,110,4580,OUT
20,2,110,5500,OUT
20,3,110,4720,OUT
20,4,110,4780,OUT
21,0,110,5400,OUT
21,1,110,4580,OUT
21,2,110,5530,IN
21,3,110,4720,OUT
21,4,110,4770,OUT
22,0,30,5390,OUT
22,1,30,4590,IN
22,2,30,5530,OUT
22,3,30,4720,OUT
22,4,30,4770,OUT
23,0,30,5390,OUT
23,1,30,4580,OUT
23,2,30,5540,IN
23,3,30,4720,OUT
23,4,30,4770,OUT
24,0,30,5390,OUT
24,1,30,4580,OUT
24,2,30,5530,OUT
24,3,30,4730,IN
24,4,30,4770,OUT
25,0,30,5390,OUT
25,1,30,4580,OUT
25,2,30,5530,OUT
25,3,30,4720,OUT
25,4,30,4780,IN
26,0,250,5370,OUT
26,1,250,4500,OUT
26,2,250,5640,IN
26,3,250,4720,OUT
26,4,250,4770,OUT
27,0,220,5290,OUT
27,1,220,4580,IN
27,2,220,5640,OUT
27,3,220,4720,OUT
27,4,220,4770,OUT
28,0,110,5290,OUT
28,1,110,4570,OUT
28,2,110,5620,OUT
28,3,110,4720,OUT
28,4,110,4800,IN
29,0,100,5290,OUT
29,1,100,4570,OUT
29,2,100,5640,IN
29,3,100,4700,OUT
29,4,100,4800,OUT
30,0,130,5290,OUT
30,1,130,4600,IN
30,2,130,5640,OUT
30,3,130,4690,OUT
30,4,130,4780,OUT
31,0,460,5270,OUT
31,1,460,4800,IN
31,2,460,5640,OUT
31,3,460,4690,OUT
31,4,460,4600,OUT
32,0,100,5290,IN
32,1,100,4780,OUT
32,2,100,5640,OUT
32,3,100,4690,OUT
32,4,100,4600,OUT
33,0,30,5290,OUT
33,1,30,4770,OUT
33,2,30,5650,IN
33,3,30,4690,OUT
33,4,30,4600,OUT
34,0,30,5290,OUT
34,1,30,4770,OUT
34,2,30,5640,OUT
34,3,30,4700,IN
34,4,30,4600,OUT
35,0,100,5290,OUT
35,1,100,4770,OUT
35,2,100,5640,OUT
35,3,100,4720,IN
35,4,100,4580,OUT
36,0,110,5270,OUT
36,1,110,4800,IN
36,2,110,5640,OUT
36,3,110,4720,OUT
36,4,110,4570,OUT
37,0,450,5260,OUT
37,1,450,4620,OUT
37,2,450,5830,IN
37,3,450,4720,OUT
37,4,450,4570,OUT
38,0,100,5260,OUT
38,1,100,4640,IN
38,2,100,5810,OUT
38,3,100,4720,OUT
38,4,100,4570,OUT
39,0,890,4860,OUT
39,1,890,4640,OUT
39,2,890,5800,OUT
39,3,890,5210,IN
39,4,890,4490,OUT
40,0,30,4860,OUT
40,1,30,4640,OUT
40,2,30,5800,OUT
40,3,30,5200,OUT
40,4,30,4500,IN
41,0,30,4870,IN
41,1,30,4640,OUT
41,2,30,5800,OUT
41,3,30,5200,OUT
41,4,30,4490,OUT
42,0,30,4860,OUT
42,1,30,4650,IN
42,2,30,5800,OUT
42,3,30,5200,OUT
42,4,30,4490,OUT
43,0,270,4970,IN
43,1,270,4640,OUT
43,2,270,5780,OUT
43,3,270,5120,OUT
43,4,270,4490,OUT
44,0,100,4970,OUT
44,1,100,4640,OUT
44,2,100,5800,IN
44,3,100,5100,OUT
44,4,100,4490,OUT
45,0,30,4970,OUT
45,1,30,4640,OUT
45,2,30,5800,OUT
45,3,30,5090,OUT
45,4,30,4500,IN
46,0,250,4950,OUT
46,1,250,4560,OUT
46,2,250,5800,OUT
46,3,250,5200,IN
46,4,250,4490,OUT
47,0,30,4940,OUT
47,1,30,4570,IN
47,2,30,5800,OUT
47,3,30,5200,OUT
47,4,30,4490,OUT
48,0,30,4940,OUT
48,1,30,4560,OUT
48,2,30,5810,IN
48,3,30,5200,OUT
