hand_number,player_id,pot_size,player_chips,player_state
1,0,110,5000,OUT
1,1,110,5000,OUT
1,2,110,5030,IN
1,3,110,4990,OUT
1,4,110,4980,OUT
2,0,110,4980,OUT
2,1,110,5030,IN
2,2,110,5030,OUT
2,3,110,4990,OUT
2,4,110,4970,OUT
3,0,270,4970,OUT
3,1,270,5010,OUT
3,2,270,4950,OUT
3,3,270,4990,OUT
3,4,270,5080,IN
4,0,110,4970,OUT
4,1,110,5000,OUT
4,2,110,4930,OUT
4,3,110,5020,IN
4,4,110,5080,OUT
5,0,270,5080,IN
5,1,270,5000,OUT
5,2,270,4920,OUT
5,3,270,5000,OUT
5,4,270,5000,OUT
6,0,130,5110,IN
6,1,130,5000,OUT
6,2,130,4920,OUT
6,3,130,4990,OUT
6,4,130,4980,OUT
7,0,110,5090,OUT
7,1,110,5000,OUT
7,2,110,4950,IN
7,3,110,4990,OUT
7,4,110,4970,OUT
8,0,450,5080,OUT
8,1,450,4820,OUT
8,2,450,5140,IN
8,3,450,4990,OUT
8,4,450,4970,OUT
9,0,230,5080,OUT
9,1,230,4810,OUT
9,2,230,5230,IN
9,3,230,4990,OUT
9,4,230,4890,OUT
10,0,490,5080,OUT
10,1,490,5040,IN
10,2,490,5220,OUT
10,3,490,4970,OUT
10,4,490,4690,OUT
11,0,30,5080,OUT
11,1,30,5040,OUT
11,2,30,5220,OUT
11,3,30,4960,OUT
11,4,30,4700,IN
12,0,110,5060,OUT
12,1,110,5070,IN
12,2,110,5220,OUT
12,3,110,4960,OUT
12,4,110,4690,OUT
13,0,250,5050,OUT
13,1,250,5050,OUT
13,2,250,5140,OUT
13,3,250,5070,IN
13,4,250,4690,OUT
14,0,30,5050,OUT
14,1,30,5040,OUT
14,2,30,5150,IN
14,3,30,5070,OUT
14,4,30,4690,OUT
15,0,30,5050,OUT
15,1,30,5040,OUT
15,2,30,5140,OUT
15,3,30,5080,IN
15,4,30,4690,OUT
16,0,130,5050,OUT
16,1,130,5070,IN
16,2,130,5140,OUT
16,3,130,5070,OUT
16,4,130,4670,OUT
17,0,30,5060,IN
17,1,30,5070,OUT
17,2,30,5140,OUT
17,3,30,5070,OUT
17,4,30,4660,OUT
18,0,230,5050,OUT
18,1,230,5160,IN
18,2,230,5140,OUT
18,3,230,4990,OUT
18,4,230,4660,OUT
19,0,110,5080,IN
19,1,110,5150,OUT
19,2,110,5120,OUT
19,3,110,4990,OUT
19,4,110,4660,OUT
20,0,30,5080,OUT
20,1,30,5150,OUT
20,2,30,5110,OUT
20,3,30,5000,IN
20,4,30,4660,OUT
21,0,120,5080,OUT
21,1,120,5150,OUT
21,2,120,5110,OUT
21,3,120,5020,IN
21,4,120,4640,OUT
22,0,690,4740,OUT
22,1,690,5150,OUT
22,2,690,5460,IN
22,3,690,5020,OUT
22,4,690,4630,OUT
23,0,110,4730,OUT
23,1,110,5130,OUT
23,2,110,5490,IN
23,3,110,5020,OUT
23,4,110,4630,OUT
24,0,2000,6150,IN
24,1,2000,4870,OUT
24,2,2000,4910,OUT
24,3,2000,5020,OUT
24,4,2000,4050,OUT
25,0,460,6150,OUT
25,1,460,5070,IN
25,2,460,4730,OUT
25,3,460,5000,OUT
25,4,460,4050,OUT
26,0,30,6150,OUT
26,1,30,5070,OUT
26,2,30,4730,OUT
26,3,30,4990,OUT
26,4,30,4060,IN
27,0,30,6160,IN
27,1,30,5070,OUT
27,2,30,4730,OUT
27,3,30,4990,OUT
27,4,30,4050,OUT
28,0,590,6150,OUT
28,1,590,5050,OUT
28,2,590,4490,OUT
28,3,590,4990,OUT
28,4,590,4320,IN
29,0,250,6260,IN
29,1,250,5040,OUT
29,2,250,4470,OUT
29,3,250,4910,OUT
29,4,250,4320,OUT
30,0,30,6260,OUT
30,1,30,5040,OUT
30,2,30,4460,OUT
30,3,30,4920,IN
30,4,30,4320,OUT
31,0,450,6260,OUT
31,1,450,5040,OUT
31,2,450,4650,IN
31,3,450,4910,OUT
31,4,450,4140,OUT
32,0,30,6270,IN
32,1,30,5040,OUT
32,2,30,4650,OUT
32,3,30,4910,OUT
32,4,30,4130,OUT
33,0,250,6260,OUT
33,1,250,5020,OUT
33,2,250,4650,OUT
33,3,250,4830,OUT
33,4,250,4240,IN
34,0,240,6180,OUT
34,1,240,5120,IN
34,2,240,4630,OUT
34,3,240,4830,OUT
34,4,240,4240,OUT
35,0,30,6180,OUT
35,1,30,5120,OUT
35,2,30,4620,OUT
35,3,30,4840,IN
35,4,30,4240,OUT
36,0,30,6180,OUT
36,1,30,5120,OUT
36,2,30,4620,OUT
36,3,30,4830,OUT
36,4,30,4250,IN
37,0,30,6190,IN
37,1,30,5120,OUT
37,2,30,4620,OUT
37,3,30,4830,OUT
37,4,30,4240,OUT
38,0,110,6180,OUT
38,1,110,5100,OUT
38,2,110,4650,IN
38,3,110,4830,OUT
38,4,110,4240,OUT
39,0,220,6180,OUT
39,1,220,5020,OUT
39,2,220,4730,IN
39,3,220,4830,OUT
39,4,220,4240,OUT
40,0,250,6100,OUT
40,1,250,5130,IN
40,2,250,4720,OUT
40,3,250,4810,OUT
40,4,250,4240,OUT
41,0,30,6100,OUT
41,1,30,5130,OUT
41,2,30,4720,OUT
41,3,30,4800,OUT
41,4,30,4250,IN
42,0,130,6080,OUT
42,1,130,5160,IN
42,2,130,4720,OUT
42,3,130,4800,OUT
42,4,130,4240,OUT
43,0,470,6070,OUT
43,1,470,5140,OUT
43,2,470,4720,OUT
43,3,470,5010,IN
43,4,470,4060,OUT
44,0,30,6070,OUT
44,1,30,5130,OUT
44,2,30,4730,IN
44,3,30,5010,OUT
44,4,30,4060,OUT
45,0,230,5990,OUT
45,1,230,5130,OUT
45,2,230,4720,OUT
45,3,230,5100,IN
45,4,230,4060,OUT
46,0,110,6020,IN
46,1,110,5130,OUT
46,2,110,4720,OUT
46,3,110,5090,OUT
46,4,110,4040,OUT
47,0,110,6000,OUT
47,1,110,5160,IN
47,2,110,4720,OUT
47,3,110,5090,OUT
47,4,110,4030,OUT
48,0,450,5990,OUT
48,1,450,5390,IN
48,2,450,4720,OUT
48,3,450,5010,OUT
48,4,450,3890,OUT
49,0,30,5990,OUT
49,1,30,5380,OUT
49,2,30,4730,IN
49,3,30,5010,OUT
49,4,30,3890,OUT
50,0,30,5990,OUT
50,1,30,5380,OUT
50,2,30,4720,OUT
50,3,30,5020,IN
50,4,30,3890,OUT
51,0,30,5990,OUT
51,1,30,5380,OUT
51,2,30,4720,OUT
51,3,30,5010,OUT
51,4,30,3900,IN
52,0,30,6000,IN
52,1,30,5380,OUT
52,2,30,4720,OUT
52,3,30,5010,OUT
52,4,30,3890,OUT
53,0,30,5990,OUT
53,1,30,5390,IN
53,2,30,4720,OUT
53,3,30,5010,OUT
53,4,30,3890,OUT
54,0,30,5990,OUT
54,1,30,5380,OUT
54,2,30,4730,IN
54,3,30,5010,OUT
54,4,30,3890,OUT
55,0,30,5990,OUT
55,1,30,5380,OUT
55,2,30,4720,OUT
55,3,30,5020,IN
55,4,30,3890,OUT
56,0,130,5990,OUT
56,1,130,5380,OUT
56,2,130,4750,IN
56,3,130,5010,OUT
56,4,130,3870,OUT
57,0,30,6000,IN
57,1,30,5380,OUT
57,2,30,4750,OUT
57,3,30,5010,OUT
57,4,30,3860,OUT
58,0,110,5990,OUT
58,1,110,5360,OUT
58,2,110,4750,OUT
58,3,110,5040,IN
58,4,110,3860,OUT
59,0,460,5990,OUT
59,1,460,5180,OUT
59,2,460,4730,OUT
59,3,460,5240,IN
59,4,460,3860,OUT
60,0,30,5990,OUT
60,1,30,5180,OUT
60,2,30,4720,OUT
60,3,30,5250,IN
60,4,30,3860,OUT
61,0,30,5990,OUT
61,1,30,5180,OUT
61,2,30,4720,OUT
61,3,30,5240,OUT
61,4,30,3870,IN
62,0,30,6000,IN
62,1,30,5180,OUT
62,2,30,4720,OUT
62,3,30,5240,OUT
62,4,30,3860,OUT
63,0,110,5990,OUT
63,1,110,5160,OUT
63,2,110,4720,OUT
63,3,110,5240,OUT
63,4,110,3890,IN
64,0,460,5990,OUT
64,1,460,4980,OUT
64,2,460,4700,OUT
64,3,460,5240,OUT
64,4,460,4090,IN
65,0,30,5990,OUT
65,1,30,4980,OUT
65,2,30,4690,OUT
65,3,30,5250,IN
65,4,30,4090,OUT
66,0,30,5990,OUT
66,1,30,4980,OUT
66,2,30,4690,OUT
66,3,30,5240,OUT
66,4,30,4100,IN
67,0,30,6000,IN
67,1,30,4980,OUT
67,2,30,4690,OUT
67,3,30,5240,OUT
67,4,30,4090,OUT
68,0,30,5990,OUT
68,1,30,4990,IN
68,2,30,4690,OUT
68,3,30,5240,OUT
68,4,30,4090,OUT
69,0,100,5990,OUT
69,1,100,5010,IN
69,2,100,4670,OUT
69,3,100,5240,OUT
69,4,100,4090,OUT
70,0,130,6020,IN
70,1,130,5010,OUT
70,2,130,4660,OUT
70,3,130,5220,OUT
70,4,130,4090,OUT
71,0,560,5940,OUT
71,1,560,5010,OUT
71,2,560,4960,IN
71,3,560,5020,OUT
71,4,560,4070,OUT
72,0,240,5920,OUT
72,1,240,5010,OUT
72,2,240,4960,OUT
72,3,240,4940,OUT
72,4,240,4170,IN
73,0,110,5910,OUT
73,1,110,4990,OUT
73,2,110,4960,OUT
73,3,110,4970,IN
73,4,110,4170,OUT
74,0,110,5910,OUT
74,1,110,4980,OUT
74,2,110,4940,OUT
74,3,110,4970,OUT
74,4,110,4200,IN
75,0,30,5910,OUT
75,1,30,4980,OUT
75,2,30,4930,OUT
75,3,30,4980,IN
75,4,30,4200,OUT
76,0,250,5910,OUT
76,1,250,4900,OUT
76,2,250,5040,IN
76,3,250,4970,OUT
76,4,250,4180,OUT
77,0,250,5890,OUT
77,1,250,4820,OUT
77,2,250,5150,IN
77,3,250,4970,OUT
77,4,250,4170,OUT
78,0,110,5880,OUT
78,1,110,4800,OUT
78,2,110,5150,OUT
78,3,110,5000,IN
78,4,110,4170,OUT
79,0,30,5880,OUT
79,1,30,4790,OUT
79,2,30,5160,IN
79,3,30,5000,OUT
79,4,30,4170,OUT
80,0,420,5880,OUT
80,1,420,4790,OUT
80,2,420,5020,OUT
80,3,420,5220,IN
80,4,420,4090,OUT
81,0,250,5880,OUT
81,1,250,4710,OUT
81,2,250,5130,IN
81,3,250,5210,OUT
81,4,250,4070,OUT
82,0,30,5890,IN
82,1,30,4710,OUT
82,2,30,5130,OUT
82,3,30,5210,OUT
82,4,30,4060,OUT
83,0,260,5990,IN
83,1,260,4690,OUT
83,2,260,5130,OUT
83,3,260,5210,OUT
83,4,260,3980,OUT
84,0,30,5990,OUT
84,1,30,4680,OUT
84,2,30,5140,IN
84,3,30,5210,OUT
84,4,30,3980,OUT
85,0,130,5990,OUT
85,1,130,4680,OUT
85,2,130,5130,OUT
85,3,130,5190,OUT
85,4,130,4010,IN
86,0,590,5990,OUT
86,1,590,4440,OUT
86,2,590,5400,IN
86,3,590,5180,OUT
86,4,590,3990,OUT
87,0,30,6000,IN
87,1,30,4440,OUT
87,2,30,5400,OUT
87,3,30,5180,OUT
87,4,30,3980,OUT
88,0,700,5660,OUT
88,1,700,4420,OUT
88,2,700,5400,OUT
88,3,700,5180,OUT
88,4,700,4340,IN
89,0,470,5480,OUT
89,1,470,4410,OUT
89,2,470,5380,OUT
89,3,470,5390,IN
89,4,470,4340,OUT
90,0,100,5480,OUT
90,1,100,4410,OUT
90,2,100,5400,IN
90,3,100,5370,OUT
90,4,100,4340,OUT
91,0,470,5480,OUT
91,1,470,4620,IN
91,2,470,5220,OUT
91,3,470,5360,OUT
91,4,470,4320,OUT
92,0,30,5490,IN
92,1,30,4620,OUT
92,2,30,5220,OUT
92,3,30,5360,OUT
92,4,30,4310,OUT
93,0,470,5480,OUT
93,1,470,4600,OUT
93,2,470,5430,IN
93,3,470,5180,OUT
93,4,470,4310,OUT
94,0,30,5480,OUT
94,1,30,4590,OUT
94,2,30,5440,IN
94,3,30,5180,OUT
94,4,30,4310,OUT
95,0,30,5480,OUT
95,1,30,4590,OUT
95,2,30,5430,OUT
95,3,30,5190,IN
95,4,30,4310,OUT
96,0,110,5480,OUT
96,1,110,4620,IN
96,2,110,5430,OUT
96,3,110,5180,OUT
96,4,110,4290,OUT
97,0,30,5490,IN
97,1,30,4620,OUT
97,2,30,5430,OUT
97,3,30,5180,OUT
97,4,30,4280,OUT
98,0,110,5480,OUT
98,1,110,4600,OUT
98,2,110,5430,OUT
98,3,110,5210,IN
98,4,110,4280,OUT
99,0,30,5480,OUT
99,1,30,4590,OUT
99,2,30,5440,IN
99,3,30,5210,OUT
99,4,30,4280,OUT
100,0,100,5480,OUT
100,1,100,4590,OUT
100,2,100,5460,IN
100,3,100,5190,OUT
100,4,100,4280,OUT
101,0,110,5480,OUT
101,1,110,4590,OUT
101,2,110,5490,IN
101,3,110,5180,OUT
101,4,110,4260,OUT
102,0,240,5460,OUT
102,1,240,4590,OUT
102,2,240,5410,OUT
102,3,240,5180,OUT
102,4,240,4360,IN
103,0,110,5450,OUT
103,1,110,4570,OUT
103,2,110,5410,OUT
103,3,110,5210,IN
103,4,110,4360,OUT
104,0,440,5450,OUT
104,1,440,4750,IN
104,2,440,5230,OUT
104,3,440,5210,OUT
104,4,440,4360,OUT
105,0,890,5450,OUT
105,1,890,5240,IN
105,2,890,5220,OUT
105,3,890,4810,OUT
105,4,890,4280,OUT
106,0,30,5450,OUT
106,1,30,5240,OUT
106,2,30,5220,OUT
106,3,30,4800,OUT
106,4,30,4290,IN
107,0,30,5460,IN
107,1,30,5240,OUT
107,2,30,5220,OUT
107,3,30,4800,OUT
107,4,30,4280,OUT
108,0,110,5450,OUT
108,1,110,5220,OUT
108,2,110,5250,IN
108,3,110,4800,OUT
108,4,110,4280,OUT
109,0,560,5450,OUT
109,1,560,4980,OUT
109,2,560,5490,IN
109,3,560,4800,OUT
109,4,560,4280,OUT
110,0,30,5450,OUT
110,1,30,4980,OUT
110,2,30,5480,OUT
110,3,30,4810,IN
110,4,30,4280,OUT
111,0,440,5370,OUT
111,1,440,4840,OUT
111,2,440,5480,OUT
111,3,440,5050,IN
111,4,440,4260,OUT
112,0,30,5380,IN
112,1,30,4840,OUT
112,2,30,5480,OUT
112,3,30,5050,OUT
112,4,30,4250,OUT
113,0,260,5480,IN
113,1,260,4820,OUT
113,2,260,5400,OUT
113,3,260,5050,OUT
113,4,260,4250,OUT
114,0,110,5510,IN
114,1,110,4810,OUT
114,2,110,5380,OUT
114,3,110,5050,OUT
114,4,110,4250,OUT
115,0,30,5510,OUT
115,1,30,4810,OUT
115,2,30,5370,OUT
115,3,30,5060,IN
115,4,30,4250,OUT
116,0,110,5510,OUT
116,1,110,4840,IN
116,2,110,5370,OUT
116,3,110,5050,OUT
116,4,110,4230,OUT
117,0,30,5520,IN
117,1,30,4840,OUT
117,2,30,5370,OUT
117,3,30,5050,OUT
117,4,30,4220,OUT
118,0,1430,5510,OUT
118,1,1430,4340,OUT
118,2,1430,5370,OUT
118,3,1430,5980,IN
118,4,1430,3800,OUT
119,0,30,5510,OUT
119,1,30,4330,OUT
119,2,30,5380,IN
119,3,30,5980,OUT
119,4,30,3800,OUT
120,0,690,5510,OUT
120,1,690,4330,OUT
120,2,690,5370,OUT
120,3,690,5640,OUT
120,4,690,4150,IN
121,0,540,5510,OUT
121,1,540,4250,OUT
121,2,540,5370,OUT
121,3,540,5920,IN
121,4,540,3950,OUT
122,0,470,5490,OUT
122,1,470,4460,IN
122,2,470,5370,OUT
122,3,470,5740,OUT
122,4,470,3940,OUT
123,0,110,5480,OUT
123,1,110,4440,OUT
123,2,110,5370,OUT
123,3,110,5770,IN
123,4,110,3940,OUT
124,0,30,5480,OUT
124,1,30,4430,OUT
124,2,30,5380,IN
124,3,30,5770,OUT
124,4,30,3940,OUT
125,0,30,5480,OUT
125,1,30,4430,OUT
125,2,30,5370,OUT
125,3,30,5780,IN
125,4,30,3940,OUT
126,0,470,5690,IN
126,1,470,4250,OUT
126,2,470,5370,OUT
