hand_number,player_id,pot_size,player_chips,player_state
44,2,110,4850,OUT
44,3,110,4640,OUT
44,4,110,4760,OUT
45,0,30,5180,OUT
45,1,30,5570,IN
45,2,30,4850,OUT
45,3,30,4640,OUT
45,4,30,4760,OUT
46,0,30,5180,OUT
46,1,30,5560,OUT
46,2,30,4860,IN
46,3,30,4640,OUT
46,4,30,4760,OUT
47,0,110,5210,IN
47,1,110,5560,OUT
47,2,110,4850,OUT
47,3,110,4620,OUT
47,4,110,4760,OUT
48,0,220,5210,OUT
48,1,220,5560,OUT
48,2,220,4850,OUT
48,3,220,4540,OUT
48,4,220,4840,IN
49,0,130,5190,OUT
49,1,130,5590,IN
49,2,130,4850,OUT
49,3,130,4540,OUT
49,4,130,4830,OUT
50,0,450,5180,OUT
50,1,450,5410,OUT
50,2,450,4850,OUT
50,3,450,4540,OUT
50,4,450,5020,IN
51,0,30,5180,OUT
51,1,30,5400,OUT
51,2,30,4860,IN
51,3,30,4540,OUT
51,4,30,5020,OUT
52,0,110,5180,OUT
52,1,110,5430,IN
52,2,110,4850,OUT
52,3,110,4520,OUT
52,4,110,5020,OUT
53,0,30,5180,OUT
53,1,30,5430,OUT
53,2,30,4850,OUT
53,3,30,4510,OUT
53,4,30,5030,IN
54,0,110,5160,OUT
54,1,110,5430,OUT
54,2,110,4850,OUT
54,3,110,4540,IN
54,4,110,5020,OUT
55,0,30,5150,OUT
55,1,30,5440,IN
55,2,30,4850,OUT
55,3,30,4540,OUT
55,4,30,5020,OUT
56,0,110,5180,IN
56,1,110,5430,OUT
56,2,110,4830,OUT
56,3,110,4540,OUT
56,4,110,5020,OUT
57,0,460,5380,IN
57,1,460,5430,OUT
57,2,460,4650,OUT
57,3,460,4520,OUT
57,4,460,5020,OUT
58,0,30,5380,OUT
58,1,30,5430,OUT
58,2,30,4650,OUT
58,3,30,4510,OUT
58,4,30,5030,IN
59,0,30,5390,IN
59,1,30,5430,OUT
59,2,30,4650,OUT
59,3,30,4510,OUT
59,4,30,5020,OUT
60,0,30,5380,OUT
60,1,30,5440,IN
60,2,30,4650,OUT
60,3,30,4510,OUT
60,4,30,5020,OUT
61,0,120,5380,OUT
61,1,120,5460,IN
61,2,120,4630,OUT
61,3,120,4510,OUT
61,4,120,5020,OUT
62,0,30,5380,OUT
62,1,30,5460,OUT
62,2,30,4620,OUT
62,3,30,4520,IN
62,4,30,5020,OUT
63,0,130,5380,OUT
63,1,130,5490,IN
63,2,130,4620,OUT
63,3,130,4510,OUT
63,4,130,5000,OUT
64,0,30,5390,IN
64,1,30,5490,OUT
64,2,30,4620,OUT
64,3,30,4510,OUT
64,4,30,4990,OUT
65,0,240,5490,IN
65,1,240,5470,OUT
65,2,240,4620,OUT
65,3,240,4510,OUT
65,4,240,4910,OUT
66,0,30,5490,OUT
66,1,30,5460,OUT
66,2,30,4630,IN
66,3,30,4510,OUT
66,4,30,4910,OUT
67,0,30,5490,OUT
67,1,30,5460,OUT
67,2,30,4620,OUT
67,3,30,4520,IN
67,4,30,4910,OUT
68,0,30,5490,OUT
68,1,30,5460,OUT
68,2,30,4620,OUT
68,3,30,4510,OUT
68,4,30,4920,IN
69,0,240,5470,OUT
69,1,240,5460,OUT
69,2,240,4620,OUT
69,3,240,4430,OUT
69,4,240,5020,IN
70,0,250,5460,OUT
70,1,250,5440,OUT
70,2,250,4540,OUT
70,3,250,4540,IN
70,4,250,5020,OUT
71,0,230,5460,OUT
71,1,230,5430,OUT
71,2,230,4630,IN
71,3,230,4540,OUT
71,4,230,4940,OUT
72,0,440,5460,OUT
72,1,440,5430,OUT
72,2,440,4810,IN
72,3,440,4360,OUT
72,4,440,4940,OUT
73,0,110,5490,IN
73,1,110,5430,OUT
73,2,110,4810,OUT
73,3,110,4350,OUT
73,4,110,4920,OUT
74,0,540,5290,OUT
74,1,540,5350,OUT
74,2,540,4810,OUT
74,3,540,4350,OUT
74,4,540,5200,IN
75,0,110,5280,OUT
75,1,110,5330,OUT
75,2,110,4840,IN
75,3,110,4350,OUT
75,4,110,5200,OUT
76,0,110,5310,IN
76,1,110,5320,OUT
76,2,110,4820,OUT
76,3,110,4350,OUT
76,4,110,5200,OUT
77,0,130,5310,OUT
77,1,130,5320,OUT
77,2,130,4810,OUT
77,3,130,4330,OUT
77,4,130,5230,IN
78,0,130,5310,OUT
78,1,130,5350,IN
78,2,130,4810,OUT
78,3,130,4320,OUT
78,4,130,5210,OUT
79,0,130,5290,OUT
79,1,130,5350,OUT
79,2,130,4840,IN
79,3,130,4320,OUT
79,4,130,5200,OUT
80,0,30,5280,OUT
80,1,30,5360,IN
80,2,30,4840,OUT
80,3,30,4320,OUT
80,4,30,5200,OUT
81,0,30,5280,OUT
81,1,30,5350,OUT
81,2,30,4850,IN
81,3,30,4320,OUT
81,4,30,5200,OUT
82,0,270,5280,OUT
82,1,270,5460,IN
82,2,270,4840,OUT
82,3,270,4300,OUT
82,4,270,5120,OUT
83,0,30,5280,OUT
83,1,30,5460,OUT
83,2,30,4840,OUT
83,3,30,4290,OUT
83,4,30,5130,IN
84,0,30,5290,IN
84,1,30,5460,OUT
84,2,30,4840,OUT
84,3,30,4290,OUT
84,4,30,5120,OUT
85,0,110,5280,OUT
85,1,110,5440,OUT
85,2,110,4840,OUT
85,3,110,4290,OUT
85,4,110,5150,IN
86,0,30,5280,OUT
86,1,30,5430,OUT
86,2,30,4850,IN
86,3,30,4290,OUT
86,4,30,5150,OUT
87,0,250,5280,OUT
87,1,250,5430,OUT
87,2,250,4840,OUT
87,3,250,4380,IN
87,4,250,5070,OUT
88,0,130,5310,IN
88,1,130,5430,OUT
88,2,130,4840,OUT
88,3,130,4370,OUT
88,4,130,5050,OUT
89,0,110,5290,OUT
89,1,110,5430,OUT
89,2,110,4870,IN
89,3,110,4370,OUT
89,4,110,5040,OUT
90,0,30,5280,OUT
90,1,30,5440,IN
90,2,30,4870,OUT
90,3,30,4370,OUT
90,4,30,5040,OUT
91,0,130,5280,OUT
91,1,130,5430,OUT
91,2,130,4850,OUT
91,3,130,4400,IN
91,4,130,5040,OUT
92,0,230,5280,OUT
92,1,230,5430,OUT
92,2,230,4840,OUT
92,3,230,4490,IN
92,4,230,4960,OUT
93,0,110,5310,IN
93,1,110,5430,OUT
93,2,110,4840,OUT
93,3,110,4480,OUT
93,4,110,4940,OUT
94,0,110,5290,OUT
94,1,110,5430,OUT
94,2,110,4840,OUT
94,3,110,4510,IN
94,4,110,4930,OUT
95,0,30,5280,OUT
95,1,30,5440,IN
95,2,30,4840,OUT
95,3,30,4510,OUT
95,4,30,4930,OUT
96,0,30,5280,OUT
96,1,30,5430,OUT
96,2,30,4850,IN
96,3,30,4510,OUT
96,4,30,4930,OUT
97,0,440,5280,OUT
97,1,440,5430,OUT
97,2,440,5030,IN
97,3,440,4330,OUT
97,4,440,4930,OUT
98,0,30,5280,OUT
98,1,30,5430,OUT
98,2,30,5030,OUT
98,3,30,4320,OUT
98,4,30,4940,IN
99,0,710,5260,OUT
99,1,710,5430,OUT
99,2,710,4690,OUT
99,3,710,4690,IN
99,4,710,4930,OUT
100,0,30,5250,OUT
100,1,30,5440,IN
100,2,30,4690,OUT
100,3,30,4690,OUT
100,4,30,4930,OUT
101,0,30,5250,OUT
101,1,30,5430,OUT
101,2,30,4700,IN
101,3,30,4690,OUT
101,4,30,4930,OUT
102,0,110,5250,OUT
102,1,110,5460,IN
102,2,110,4690,OUT
102,3,110,4670,OUT
102,4,110,4930,OUT
103,0,110,5280,IN
103,1,110,5460,OUT
103,2,110,4690,OUT
103,3,110,4660,OUT
103,4,110,4910,OUT
104,0,30,5290,IN
104,1,30,5460,OUT
104,2,30,4690,OUT
104,3,30,4660,OUT
104,4,30,4900,OUT
105,0,130,5280,OUT
105,1,130,5440,OUT
105,2,130,4690,OUT
105,3,130,4690,IN
105,4,130,4900,OUT
106,0,30,5280,OUT
106,1,30,5430,OUT
106,2,30,4700,IN
106,3,30,4690,OUT
106,4,30,4900,OUT
107,0,30,5280,OUT
107,1,30,5430,OUT
107,2,30,4690,OUT
107,3,30,4700,IN
107,4,30,4900,OUT
108,0,120,5280,OUT
108,1,120,5430,OUT
108,2,120,4690,OUT
108,3,120,4720,IN
108,4,120,4880,OUT
109,0,30,5290,IN
109,1,30,5430,OUT
109,2,30,4690,OUT
109,3,30,4720,OUT
109,4,30,4870,OUT
110,0,30,5280,OUT
110,1,30,5440,IN
110,2,30,4690,OUT
110,3,30,4720,OUT
110,4,30,4870,OUT
111,0,100,5280,OUT
111,1,100,5460,IN
111,2,100,4670,OUT
111,3,100,4720,OUT
111,4,100,4870,OUT
112,0,30,5280,OUT
112,1,30,5460,OUT
112,2,30,4660,OUT
112,3,30,4730,IN
112,4,30,4870,OUT
113,0,30,5280,OUT
113,1,30,5460,OUT
113,2,30,4660,OUT
113,3,30,4720,OUT
113,4,30,4880,IN
114,0,690,4940,OUT
114,1,690,5810,IN
114,2,690,4660,OUT
114,3,690,4720,OUT
114,4,690,4870,OUT
115,0,30,4930,OUT
115,1,30,5820,IN
115,2,30,4660,OUT
115,3,30,4720,OUT
115,4,30,4870,OUT
116,0,30,4930,OUT
116,1,30,5810,OUT
116,2,30,4670,IN
116,3,30,4720,OUT
116,4,30,4870,OUT
117,0,30,4930,OUT
117,1,30,5810,OUT
117,2,30,4660,OUT
117,3,30,4730,IN
117,4,30,4870,OUT
118,0,360,4930,OUT
118,1,360,5810,OUT
118,2,360,4820,IN
118,3,360,4590,OUT
118,4,360,4850,OUT
119,0,30,4940,IN
119,1,30,5810,OUT
119,2,30,4820,OUT
119,3,30,4590,OUT
