hand_number,player_id,pot_size,player_chips,player_state
1,0,30,5000,OUT
1,1,30,4990,OUT
1,2,30,5010,IN
1,3,30,5000,OUT
1,4,30,5000,OUT
2,0,250,5110,IN
2,1,250,4990,OUT
2,2,250,5000,OUT
2,3,250,4980,OUT
2,4,250,4920,OUT
3,0,30,5110,OUT
3,1,30,4990,OUT
3,2,30,5000,OUT
3,3,30,4970,OUT
3,4,30,4930,IN
4,0,240,5090,OUT
4,1,240,4910,OUT
4,2,240,5000,OUT
4,3,240,4970,OUT
4,4,240,5030,IN
5,0,30,5080,OUT
5,1,30,4920,IN
5,2,30,5000,OUT
5,3,30,4970,OUT
5,4,30,5030,OUT
6,0,30,5080,OUT
6,1,30,4910,OUT
6,2,30,5010,IN
6,3,30,4970,OUT
6,4,30,5030,OUT
7,0,900,5080,OUT
7,1,900,4510,OUT
7,2,900,5510,IN
7,3,900,4950,OUT
7,4,900,4950,OUT
8,0,130,5080,OUT
8,1,130,4510,OUT
8,2,130,5540,IN
8,3,130,4940,OUT
8,4,130,4930,OUT
9,0,30,5090,IN
9,1,30,4510,OUT
9,2,30,5540,OUT
9,3,30,4940,OUT
9,4,30,4920,OUT
10,0,30,5080,OUT
10,1,30,4520,IN
10,2,30,5540,OUT
10,3,30,4940,OUT
10,4,30,4920,OUT
11,0,30,5080,OUT
11,1,30,4510,OUT
11,2,30,5550,IN
11,3,30,4940,OUT
11,4,30,4920,OUT
12,0,30,5080,OUT
12,1,30,4510,OUT
12,2,30,5540,OUT
12,3,30,4950,IN
12,4,30,4920,OUT
13,0,30,5080,OUT
13,1,30,4510,OUT
13,2,30,5540,OUT
13,3,30,4940,OUT
13,4,30,4930,IN
14,0,110,5060,OUT
14,1,110,4510,OUT
14,2,110,5570,IN
14,3,110,4940,OUT
14,4,110,4920,OUT
15,0,30,5050,OUT
15,1,30,4520,IN
15,2,30,5570,OUT
15,3,30,4940,OUT
15,4,30,4920,OUT
16,0,30,5050,OUT
16,1,30,4510,OUT
16,2,30,5580,IN
16,3,30,4940,OUT
16,4,30,4920,OUT
17,0,130,5050,OUT
17,1,130,4540,IN
17,2,130,5570,OUT
17,3,130,4920,OUT
17,4,130,4920,OUT
18,0,700,5050,OUT
18,1,700,4900,IN
18,2,700,5570,OUT
18,3,700,4580,OUT
18,4,700,4900,OUT
19,0,30,5060,IN
19,1,30,4900,OUT
19,2,30,5570,OUT
19,3,30,4580,OUT
19,4,30,4890,OUT
20,0,30,5050,OUT
20,1,30,4910,IN
20,2,30,5570,OUT
20,3,30,4580,OUT
20,4,30,4890,OUT
21,0,30,5050,OUT
21,1,30,4900,OUT
21,2,30,5580,IN
21,3,30,4580,OUT
21,4,30,4890,OUT
22,0,250,4970,OUT
22,1,250,5010,IN
22,2,250,5570,OUT
22,3,250,4560,OUT
22,4,250,4890,OUT
23,0,490,4970,OUT
23,1,490,4810,OUT
23,2,490,5800,IN
23,3,490,4550,OUT
23,4,490,4870,OUT
24,0,250,4950,OUT
24,1,250,4730,OUT
24,2,250,5910,IN
24,3,250,4550,OUT
24,4,250,4860,OUT
25,0,240,4870,OUT
25,1,240,4810,IN
25,2,240,5910,OUT
25,3,240,4550,OUT
25,4,240,4860,OUT
26,0,110,4900,IN
26,1,110,4800,OUT
26,2,110,5890,OUT
26,3,110,4550,OUT
26,4,110,4860,OUT
27,0,250,4900,OUT
27,1,250,4910,IN
27,2,250,5880,OUT
27,3,250,4530,OUT
27,4,250,4780,OUT
28,0,450,4820,OUT
